segment_id,corridor_section,direction,is_mainline,is_ramp,chainage_start_km,chainage_end_km,length_m,maxspeed_osm_kph,hour_of_day,is_weekend,day_type,free_flow_speed_kph,speed_kph,travel_time_seconds,congestion_ratio,speed_reduction_pct,traffic_state_label,speed_source,free_flow_speed_source,traffic_mapping_method
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,0,False,WEEKDAY,96.5,108.1,35.2,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,1,False,WEEKDAY,96.5,110.0,34.6,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,2,False,WEEKDAY,96.5,111.0,34.3,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,3,False,WEEKDAY,96.5,110.0,34.6,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,4,False,WEEKDAY,96.5,106.2,35.9,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,5,False,WEEKDAY,96.5,98.4,38.7,0.0,0.0,FREE_FLOW,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,6,False,WEEKDAY,96.5,84.9,44.9,0.1202,12.02,SLIGHT_DELAY,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,7,False,WEEKDAY,96.5,73.3,52.0,0.2404,24.04,SLIGHT_DELAY,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,8,False,WEEKDAY,96.5,59.1,64.5,0.3876,38.76,MODERATE_CONGESTION,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
YE_MAIN_SB_001,Section 1: Greater Noida - Dankaur (Km 0 - 25),SB,True,False,0.0,1.058,1058.239351416506,100.0,9,False,WEEKDAY,96.5,67.3,56.6,0.3026,30.26,MODERATE_CONGESTION,SURVEY_CALIBRATED_DIURNAL_BASELINE,SAVELIFE_TRIPP_RADAR_SURVEY_BENCHMARK,SECTION_LEVEL_BASELINE_ASSIGNMENT
